type,properties/name,properties/beachCode,properties/nearestTown,properties/length,properties/epaId,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Bradford Beach,41-005,Milwaukee,2673,WI312597,Point,-87.873078,43.061833
Feature,Southport Park,30-007,Kenosha,1356,WI400905,Point,-87.812117,42.562039
Feature,Lakeview Park,60-009,Sheboygan,2008,,Point,-87.707074,43.720216
Feature,Kohler-Andrae State Park Nature Cent,60-008,Sheboygan,4530,WI526839,Point,-87.716775,43.665092
Feature,Kohler-Andrae State Park South Picni,60-016,Sheboygan,2223,WI626591,Point,-87.725413,43.651989
Feature,Neshotah Park,36-008,Two Rivers,4511,WI821179,Point,-87.555535,44.149713
Feature,Point State Park Lakeshore Picnic Ar,36-017,Two Rivers,2501,WI538951,Point,-87.506925,44.217703
Feature,Deland Park,60-003,Sheboygan,4626,WI949936,Point,-87.70238,43.759168
Feature,Grant Park,41-006,South Milwaukee,6388,WI429764,Point,-87.840298,42.912232
Feature,Sheridan Park,41-010,Cudahy,4781,,Point,-87.844882,42.957457
Feature,McKinley,41-009,Milwaukee,737,WI234408,Point,-87.881807,43.053287
Feature,Watercraft Beach (McKinley Jetski Lake),41-008,Milwaukee,989,,Point,-87.879501,43.055028
Feature,Alford Park,30-001,Kenosha,5468,WI371142,Point,-87.819895,42.613182
Feature,Big Bay State Park,02-002,La Pointe,7377,WI937015,Point,-90.67604,46.807689
Feature,Wisconsin Point #1 (City of Superior),16-012,Itasca (Superior),17268,WI888427,Point,-92.003337,46.70231
Feature,Wisconsin Point #3 (University of Wi),16-014,Itasca (Superior),2679,WI573145,Point,-91.942289,46.679855
Feature,Wisconsin Point #2 (Douglas County),16-013,Itasca (Superior),1369,WI669980,Point,-91.950376,46.6804
Feature,Oronto Bay #1,26-001,Cedar,3099,WI895483,Point,-90.470503,46.572855
Feature,Oronto Bay #2,26-002,Cedar,2953,WI938425,Point,-90.490782,46.582163
Feature,Oronto Bay #3,26-003,Cedar,167,WI502001,Point,-90.500565,46.587311
Feature,Sioux River North,04-011,Washburn,921,WI728716,Point,-90.884065,46.747943
Feature,Zoo,52-007,Racine,2248,WI988510,Point,-87.781448,42.748621
Feature,North,52-003,Racine,3115,WI721390,Point,-87.780327,42.74112
Feature,Michigan Blvd,52-001,Racine,1303,,Point,-87.780648,42.753833
Feature,Wind Point Lighthouse,52-006,Wind Point,303,,Point,-87.757464,42.781185
Feature,Shoop Park,52-005,Wind Point,3095,,Point,-87.761183,42.778281
Feature,Big Bay Town Park,02-003,La Pointe,1184,WI985506,Point,-90.674545,46.81881
Feature,Port Wing West,04-009,Port Wing,4143,WI347339,Point,-91.392301,46.790146
Feature,Port Wing East,04-008,Port Wing,3306,WI159171,Point,-91.369704,46.793709
Feature,Herbster,04-004,Herbster,1596,WI104571,Point,-91.257477,46.836378
Feature,Sioux River South,04-012,Washburn,5984,WI666189,Point,-90.878137,46.737404
Feature,Seagull Bar Wildlife Area,38-004,Marinette,3078,,Point,-87.57942,45.075868
Feature,Silver Creek,36-011,Manitowoc,1437,,Point,-87.653431,44.061174
Feature,University,36-013,Manitowoc,1275,,Point,-87.653581,44.064616
Feature,Saxon Harbor East,26-004,Cedar,1151,WI157254,Point,-90.43545,46.562226
Feature,Saxon Harbor West,26-005,Cedar,254,WI960543,Point,-90.441483,46.562515
Feature,Allouez Bay #2,16-002,Itasca (Superior),283,WI294067,Point,-92.002164,46.698723
Feature,Allouez Bay #3,16-003,Itasca (Superior),174,WI578209,Point,-91.987998,46.69173
Feature,Brule River State Forest #3,16-009,Port Wing,1446,WI983384,Point,-91.728973,46.715171
Feature,Barker Island Inner,16-005,Superior,496,WI887548,Point,-92.059926,46.720237
Feature,Barker Island Outer,16-006,Superior,629,WI915457,Point,-92.058301,46.720637
Feature,Allouez Bay #1,16-001,Itasca (Superior),773,WI349391,Point,-92.012499,46.702226
Feature,Amnicon River,16-004,Amnicon Falls,124,WI545475,Point,-91.857133,46.691584
Feature,Middle River,16-011,Wentworth,696,WI741058,Point,-91.829281,46.689931
Feature,Brule River State Forest #2,16-008,Port Wing,1074,WI750300,Point,-91.614144,46.746615
Feature,Brule River State Forest #1,16-007,Port Wing,1202,WI137478,Point,-91.61076,46.747705
Feature,Thompson West End Park,04-014,Washburn,340,WI275933,Point,-90.904887,46.665736
Feature,Wikdal Memorial Boat Launch,04-018,Washburn,198,WI151032,Point,-90.902033,46.666391
Feature,Washburn Walking Trail  (aka BAB),04-016,Washburn,270,WI437149,Point,-90.894063,46.667776
Feature,Washburn Marina,04-015,Washburn,211,WI981381,Point,-90.885994,46.669949
Feature,Memorial Bayfield,04-006,Bayfield,105,WI627331,Point,-90.813249,46.810754
Feature,Highway 13 Wayside,04-005,Port Wing,483,,Point,-91.513358,46.756953
Feature,Siskiwit,04-013,Cornucopia,1436,WI197157,Point,-91.099986,46.859513
Feature,Bono Creek Boat Launch,04-002,Washburn,261,,Point,-90.921087,46.636889
Feature,Washington Ave,04-017,Bayfield,555,WI984993,Point,-90.811979,46.812745
Feature,River Loop Rd,04-010,Port Wing,167,,Point,-91.484374,46.767921
Feature,Memorial Park Washburn,04-007,Washburn,321,WI928596,Point,-90.881212,46.675142
Feature,Broad St,04-003,Bayfield,71,WI092383,Point,-90.817177,46.807652
Feature,Bark Bay,04-001,Herbster,6318,WI612731,Point,-91.194796,46.85037
Feature,Casper Rd,02-004,La Pointe,77,WI415576,Point,-90.783097,46.752594
Feature,Bayview Park Ashland,02-001,Ashland,4240,WI883392,Point,-90.864255,46.602981
Feature,Kreher Park,02-005,Ashland,895,WI664128,Point,-90.880956,46.597553
Feature,Maslowski,02-007,Ashland,1431,WI134911,Point,-90.920753,46.583436
Feature,Red Arrow Marinette #2,38-002,Marinette,358,,Point,-87.586652,45.085961
Feature,Red Arrow Marinette #3,38-003,Marinette,2469,,Point,-87.583496,45.081914
Feature,Red Arrow Marinette #1,38-001,Marinette,2180,,Point,-87.589014,45.088861
Feature,Bayshore Park,05-001,Green Bay,1957,WI740597,Point,-87.798132,44.638019
Feature,Volks Landing Boat Launch,05-006,Dyckesville,115,,Point,-87.842968,44.618689
Feature,Town of Scott Park,05-004,Dyckesville,90,,Point,-87.855215,44.619864
Feature,Van Lanen,05-005,Wequiock (Green Bay),67,,Point,-87.90281,44.567499
Feature,Riverside Dr,05-003,Suamico,103,,Point,-88.00955,44.630729
Feature,Communiversity Park,05-002,Green Bay,1396,WI403290,Point,-87.928638,44.536367
Feature,Ephraim,15-015,Ephraim,287,WI062070,Point,-87.175032,45.150127
Feature,Nicolet,15-033,Fish Creek,944,WI512106,Point,-87.223493,45.165536
Feature,Murphy Park,15-030,Egg Harbor,308,WI641986,Point,-87.332249,45.015403
Feature,Sunset Park Sturgeon Bay,15-049,Sturgeon Bay,321,WI500512,Point,-87.385885,44.845513
Feature,Potawatomi State Park #1,15-037,Sturgeon Bay,259,,Point,-87.404373,44.857495
Feature,Potawatomi State Park #2,15-038,Sturgeon Bay,838,,Point,-87.411208,44.864043
Feature,Sand Bay #1,15-040,Little Sturgeon,70,,Point,-87.498166,44.856508
Feature,Sand Bay #2,15-041,Little Sturgeon,65,,Point,-87.502316,44.864543
Feature,Haines Park,15-022,Little Sturgeon,60,WI826309,Point,-87.504379,44.855007
Feature,Kickapoo Dr,15-025,Sturgeon Bay,100,,Point,-87.303521,44.805516
Feature,Hemlock Ln,15-023,Sturgeon Bay,176,,Point,-87.246518,44.856369
Feature,Bittersweet Ln,15-004,Sturgeon Bay,183,,Point,-87.240363,44.858631
Feature,Sandy Bay Town Park,15-044,Rowleys Bay,354,WI282701,Point,-87.03994,45.212121
Feature,Sand Cove,15-042,Northport,713,,Point,-86.983043,45.228979
Feature,Ellison Bay Town Park,15-014,Ellison Bay,90,WI797561,Point,-87.077576,45.252883
Feature,Sister Bay,15-046,Sister Bay,111,WI847906,Point,-87.121745,45.18997
Feature,Otumba Park,15-034,Sturgeon Bay,166,WI873897,Point,-87.388879,44.830916
Feature,Cliff View Dr,15-009,Sturgeon Bay,52,,Point,-87.456899,44.878856
Feature,Braunsdorf,15-005,Claybanks,590,,Point,-87.362476,44.690404
Feature,Clay Banks #1,15-007,Claybanks,897,,Point,-87.349552,44.708997
Feature,Sturgeon Bay Canal Recreation Area,15-047,Sturgeon Bay,538,WI313701,Point,-87.314196,44.79219
Feature,Winnebago Dr,15-053,Sturgeon Bay,76,,Point,-87.295683,44.809499
Feature,Chippewa Dr,15-006,Sturgeon Bay,102,,Point,-87.289572,44.812447
Feature,Lily Bay Boat Launch,15-029,Sturgeon Bay,175,,Point,-87.262741,44.849872
Feature,Deer Path Ln,15-011,Sturgeon Bay,60,,Point,-87.252123,44.854347
Feature,Goldenrod Ln,15-021,Sturgeon Bay,52,,Point,-87.228317,44.864296
Feature,White Pine Ln,15-050,Sturgeon Bay,51,,Point,-87.22385,44.868732
Feature,Whitefish Bay Boat Launch,15-051,Whitefish Bay,186,,Point,-87.216072,44.905689
Feature,Lakeshore Dr Door,15-026,Jacksonport,36,,Point,-87.188382,44.961148
Feature,Lakeside Park,15-027,Jacksonport,158,WI160438,Point,-87.183168,44.977959
Feature,Anclam Park,15-001,Baileys Harbor,53,WI501955,Point,-87.124176,45.058648
Feature,Bailey Harbor Ridges Park,15-003,Baileys Harbor,465,WI914897,Point,-87.118089,45.069692
