type,properties/name,properties/description,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Egg Harbor Municipal Marina,"The Egg Harbor Municipal Marina in Door County has a boat ramp and boarding dock open to the public. Parking is available, and there is a launch fee. For more information call (920) 868-2048\n      ",Point,-87.282618,45.050049
Feature,Hika Park Access,"The Hika Park boat access is in the Village of Cleveland, in Manitowoc County. The site has a boat ramp and boarding dock open to the public. Vault restrooms are available. \n      ",Point,-87.723798,43.915648
Feature,Saxon Harbor Access,"The Saxon Harbor Access is in the Town of Saxon, Iron County. The site has three paved boat ramp lanes and a boarding dock open to the public. Vault restrooms are available. For more information call the Forestry and Parks Department (715) 561-2697.\n      ",Point,-90.437446,46.561557
Feature,Saxon Falls Flowage Access,"The Saxon Falls Flowage Access is in the Town of Saxon, Iron County. The site has one paved boat ramp lane. No boarding dock or restrooms are available. \n      ",Point,-90.373674,46.538644
Feature,Bender Park Boat Launch,"The Bender Park Boat Launch is in the City of Oak Creek, Milwaukee County. The site has more than five paved boat ramp lanes and a boarding dock open to the public. The launch depth is about three feet deep, depending on the lake level. Flush restrooms are available, and the site is ADA accessible. For more information call Milwaukee County Parks (414) 257-7275.\n      ",Point,-87.839428,42.866805
Feature,Port Washington - Lake Michigan,"The Port Washington Access is in the City of Port Washington, Ozaukee County. The site has more than five paved boat ramp lanes and a boarding dock open to the public. Flush restrooms are available, and there is a fish cleaning area. The launch depth is deeper than three feet.\n      ",Point,-87.86685,43.387702
Feature,Lake Michigan Access,A small launch site in the City of Sheboygan with one boat ramp.\n      ,Point,-87.700476,43.767327
Feature,Peshtigo Harbor Access,"The Peshtigo Harbor Access is in the Town of Peshtigo, Marinette County. The site has one boat ramp lane on the Peshtigo River. No restrooms are available. For more information call the Wisconsin DNR area Wildlife Biologist (715) 582-5047.\n      ",Point,-87.656495,44.974006
Feature,Metro Boat Launch,"The Metro Boat Launch is on the Fox River in Brown County. The site has more than five paved boat ramp lanes and an ADA accessible boarding dock.  The launch depth is greater than three feet, and there is a launching fee. Flush restrooms are available. For more information call the Parks, Recreation and Forestry Department (920) 448-3365.\n      ",Point,-88.003856,44.537345
Feature,Jackson Harbor Access,"The Jackson Harbor Access is on the northeast side of Washington Island, at the tip of the Door County peninsula. There is a boarding dock and potable water. The site is within Rock Island State Park. For more information call theWisconsin State DNR (920) 847-2235.\n      ",Point,-86.856157,45.400607
Feature,Two Creeks Access,"Two Creeks Access is in the Town of Two Creeks, Manitowoc County. The site has one gravel launch lane and a boarding dock. The launch is in less than three feet of water, and is unprotected.  Launching may be difficult if the waves on Lake Michigan are larger than three feet.\n      ",Point,-87.544276,44.304979
Feature,West Shore Access,"The West Shore Access is in the Town of Suamico, Brown County. The site has one boat ramp lane, with an unimproved surface, and is not ADA accessible. There is no boarding dock or restrooms. The ramp should be used as carry-in access when water levels are low.\n      ",Point,-88.013406,44.619995
Feature,Tennison Bay Ramp,"The Tennison Bay Ramp is in the Town of Gibraltar, Door County. The site has one carry-in ramp with an unimproved surface, and is unusable at low water levels (except for canoes and kayaks). Flush restrooms are available. For more information call the Wisconsin State DNR (928) 868-3258.\n      ",Point,-87.235104,45.161853
Feature,Barkers Island Marina,"Barkers Island Marina is in the City of Superior, Douglas County. The site has two paved boat ramp lanes and a boarding dock. The Marina is ADA accessible, and portable restrooms are available. For more information call the Superior Parks and Recreation Department (715) 395-7270\n      ",Point,-92.057309,46.718454
Feature,Loonsfoot Landing,"Loonsfoot Landing is in the City of Superior, Douglas County. The site has four paved boat ramp lanes and a boarding dock. The landing is ADA accessible, and flush restrooms are available. For more information call the Superior Parks and Recreation Department (715) 395-7270\n      ",Point,-92.034391,46.699924
Feature,Olde Stone Quarry Park Boat Ramp,The Olde Stone Quarry Ramp is in the Town of Sevastopol on Sturgeon Bay. The site has four paved boat ramp lanes and a boarding dock. The launch depth is greater than three feet deep. For more information call the Door County Parks Department (920) 746-9959\n      ,Point,-87.405627,44.904462
