type,properties/name,properties/description,properties/links/0/siteName,properties/links/0/link,properties/links/1/siteName,properties/links/1/link,properties/links/2/siteName,properties/links/2/link,properties/links/3/siteName,properties/links/3/link,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/links/4/siteName,properties/links/4/link
Feature,Algoma Pierhead,"The Algoma lighthouse is operational and run by the U.S. Coast Guard, but it is not open to the public. The first station on this site was built in 1893 and replaced in 1908, and the current tower was built in 1932.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=254,Terry Pepper,http://terrypepper.com/lights/michigan/algoma/algoma.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/algoma.htm,,http://wisconsincoastalguide.org,Point,-87.42946791367855,44.60685382891398,,
Feature,Ashland Breakwater,"The Ashland Breakwater Lighthouse (also known as the Chequamegon Bay Breakwater Light) is operational and maintained by the U.S. Coast Guard. It is not open to the public and close-up views can only be obtained by boat because the breakwater is not connected to shore. Bayview Park (on the bay side of US 2 just south of town) offers some of the best view from shore. Built in 1914, this lighthouse is *the last remaining notable poured, reinforced, concrete lighthouse of its kind in the United States,* according to the Wisconsin Historical Society.       ",National Park Service,http://cr.nps.gov/maritime/light/ashland.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=261,Terry Pepper,http://terrypepper.com/lights/superior/ashland/ashland.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/Ashland%20Breakwater.htm,Point,-90.87025666690371,46.62803229139122,,http://wisconsincoastalguide.org
Feature,Bailey's Harbor,"The Baileys Harbor Lighthouse is inactive and privately owned - the entire Lighthouse Island is privately owned. It was built in 1853 and closed when the Cana Island Light and Baileys Harbor Range Lights became operational. The 53-foot rubble tower is topped with an unusual birdcage lantern, which is no longer supported and could fall at any time.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=258,Terry Pepper,http://terrypepper.com/lights/michigan/baileysold/index.html,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/baileysharbor.htm,,http://wisconsincoastalguide.org,Point,-87.0969435441458,45.05561976839658,,
Feature,Bailey's Harbor Range Lights,"The Baileys Harbor Range Lights consist of two buildings--the upper range light (a one and one-half story house with seven rooms) and the lower range light (a 21-foot wooden tower). They were built in 1870, electrified in 1930, and decommissioned in 1969. Both are inactive now and managed by the Ridges Sanctuary, where they are open for public viewing during the annual Lighthouse Walk and to groups by special appointment.       ",Ridges Sanctuary,http://ridgessanctuary.org/visit/baileys-harbor-range-lights,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=257,Terry Pepper,http://terrypepper.com/lights/michigan/baileysrange/baileyshrbr.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/BaileysHarborRanges.htm,Point,-87.11962294256155,45.07030830792295,,http://wisconsincoastalguide.org
Feature,Boyer Bluff,"The Boyer Bluff Light is an active light managed by the U.S. Coast Guard, although it is not technically a lighthouse because it is not enclosed. It consists of a 220-foot steel skeletal tower.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=835,,http://wisconsincoastalguide.org,,,,,Point,-86.93649486939817,45.42018726811045,,
Feature,Cana Island,The Cana Island Light was built in 1870 to replace the deteriorating wooden Baileys Harbor Light. It is an active 81-foot tower with a continuous white light and is maintained by the U.S. Coast Guard. The cream city brick used for the exterior (still visible on the keeper's house) suffered during several large storms and was encased in steel in 1902. The lighthouse is open to the public (with an admission fee) and is staffed by the Door County Maritime Museum seven days a week from May to October.       ,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=259,Terry Pepper,http://terrypepper.com/lights/michigan/canaisland/canaisland.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/canaisland.htm,,http://wisconsincoastalguide.org,Point,-87.04804060590442,45.08820491029508,,
Feature,Chambers Island,"Marking the passage into Green Bay, the Chambers Island Light was built in 1868. It consists of a 67-foot cylindrical brick tower and a one and one-half story keeper's house. It was replaced by a 97-foot skeletal tower in 1961 that remains active. The lighthouse is maintained by the Town of Gibraltar and is located in 40-acre Chambers Island Park. The lighthouse itself houses a small museum and is open to the public when the caretakers are available, which includes most weekends during the summer.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=638,Terry Pepper,http://terrypepper.com/lights/michigan/chambers/chambers.htm,,http://wisconsincoastalguide.org,,,Point,-87.3648237518772,45.20215462810602,,
Feature,Chequamegon Point,"There are two Chequamegon Point Lights--the first, built in 1896, is a skeletal cast iron tower that has been inactive since 1987; the second, built in 1987 is an active steel tower. Both are managed by the Apostle Island National Lakeshore, but the active light is owned by the U.S. Coast Guard and the inactive light is owned by the National Park Service. The site for both is open to the public, although a boat is required to get to Long Island. Both towers are closed to the public.       ",National Park Service,http://nps.gov/apis/historyculture/long-lights.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=695,Terry Pepper,http://terrypepper.com/lights/superior/chequamegon/index.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/chequamegonpoint.htm,Point,-90.80913454417407,46.72853024201321,,http://wisconsincoastalguide.org
Feature,Devils Island,"A beacon was first lit in this location in 1891, and a temporary tower and a keeper's residence were built at that time. In 1897, an assistant keeper's residence was built as well. The 82-foot steel tower was finished in 1898, but the light wasn't available until 1901. The tower was originally designed as a simple cylinder, but its exposed location caused it to shake. According to the National Park Service, keepers complained that the tower sometimes shook so badly that the motion extinguished the lamp. External braces solved this problem 1914; they remain today. This light is owned by the U.S. Park Service and managed by Apostle Islands National Lakeshore. The site is open to the public and tours are given during the summer season. The island is accessible only by boat.       ",National Park Service,http://nps.gov/apis/historyculture/devils-light.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=691,Terry Pepper,http://terrypepper.com/lights/superior/devils/devils.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/DevilsIsland.htm,Point,-90.72825176740997,47.0795224277381,,http://wisconsincoastalguide.org
Feature,Dunlap Reef Rear Range,"Built in 1881, the Dunlap Reef Rear Range Light was located on the reef until it was deactivated in 1924 and moved in 1925. It is now a private residence in the town of Sturgeon Bay, and it is not open to the public.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=637,Terry Pepper,http://terrypepper.com/lights/michigan/dunlap-reef/index.html,,http://wisconsincoastalguide.org,,,Point,-87.37271802933488,44.8320739048657,,
