type,properties/name,properties/subtitle,properties/links/0/href,properties/links/0/text,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Apostle Islands National Lakeshore,National Park Service,http://www.nps.gov/apis/,Park Website,Point,-90.820515,46.812971
Feature,Brule River State Forest,Wisconsin DNR,http://dnr.wi.gov/topic/stateforests/bruleriver/,Park Website,Point,-91.608989,46.748076
Feature,Big Bay State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/bigbay/,Park Website,Point,-90.668611,46.798611
Feature,Potawatomi State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/potawatomi/,Park Website,Point,-87.411389,44.863333
Feature,Peninsula State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/peninsula/,Park Website,Point,-87.223333,45.165
Feature,Rock Island State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/rockisland/,Park Website,Point,-86.828889,45.409167
Feature,Newport State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/newport/,Park Website,Point,-86.9875,45.237778
Feature,Whitefish Dunes State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/whitefish/,Park Website,Point,-87.182778,44.926945
Feature,Point Beach State Forest,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/pointbeach/,Park Website,Point,-87.507778,44.223889
Feature,Kohler-Andrae State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/kohlerandrae/,Park Website,Point,-87.723114,43.656572
Feature,Harrington Beach State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/harrington/,Park Website,Point,-87.793078,43.496635
Feature,Lakeshore State Park,Wisconsin DNR,http://dnr.wi.gov/topic/parks/name/lakeshore/,Park Website,Point,-87.895061,43.031816
Feature,Alan Tomczak Park,Ashland County,,,Point,-90.849317,46.60884
Feature,Second Landing,Ashland County,,,Point,-90.779773,46.63097
Feature,Saxon Harbor,Iron County Forestry,http://www.ironcountyforest.org/index_files/Page613.htm,Park Website,Point,-90.439497,46.562108
Feature,Michaelis Park,Marinette County,,,Point,-87.62562,45.039852
Feature,North Bay Shore Recreation Area,Oconto County Forestry,https://www.co.oconto.wi.us/parks/camping/north_bayshore_county_park/,Park Website,Point,-87.781851,44.963267
Feature,Suamico Boat Landing,Brown County,http://www.co.brown.wi.us/departments/page_fac451d7eba6/?department=260ed145263d&subdepartment=dadc284c6c54,Park Website,Point,-88.014539,44.63153
Feature,L.H. Barkhausen Waterfowl Preserve,Brown County,http://www.co.brown.wi.us/departments/page_03513174fdfd/?department=260ed145263d&subdepartment=dadc284c6c54,Park Website,Point,-88.037872,44.598516
Feature,Cecil DePeau Bay Shore Park,Brown County,http://www.co.brown.wi.us/departments/page_fe2f0b71389c/?department=260ed145263d&subdepartment=dadc284c6c54,Park Website,Point,-87.802775,44.638161
Feature,Red River County Park,Kewaunee County,,,Point,-87.746944,44.667778
Feature,Chaudoirs Dock County Park,Door County,http://map.co.door.wi.us/parks/Chaudoirs-Dock.htm,Park Website,Point,-87.698159,44.747124
Feature,Sugar Creek County Park,Door County,http://map.co.door.wi.us/parks/Sugar-Creek.htm,Park Website,Point,-87.661201,44.788245
Feature,Robert Carmody County Park,Door County,http://map.co.door.wi.us/parks/Carmody.htm,Park Website,Point,-87.560556,44.843611
Feature,Olde Stone Quarry County Par,Door County,http://map.co.door.wi.us/parks/Olde-Stone-Quarry.htm,Park Website,Point,-87.405,44.904167
Feature,Frank E. Murphy County Park,Door County,http://map.co.door.wi.us/parks/Murphy.htm,Park Website,Point,-87.332026,45.015422
Feature,Ellison Bluff County Park,Door County,http://map.co.door.wi.us/parks/Ellison-Bluff.htm,Park Website,Point,-87.108581,45.255805
Feature,Door Bluff Headlands County Park,Door County,http://map.co.door.wi.us/parks/Door-Bluff-Headlands.htm,Park Website,Point,-87.062494,45.297792
Feature,Percy Johnson County Park,Door County,http://map.co.door.wi.us/parks/Percy-Johnson.htm,Park Website,Point,-86.864722,45.363611
Feature,Cana Island Lighthouse,Door County,http://map.co.door.wi.us/parks/Cana-Island-Lighthouse.htm,Park Website,Point,-87.048283,45.088793
