type,properties/name,properties/description,properties/links/description,properties/links/map,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Brule River Boreal Forest,Brule River State Forest is a boreal forest in various stages of recovery that borders the Brule River. Rare animals in the area include the bald eagle.  Area is best seen by canoe,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=160,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map160.pdf,Point,-91.6008,46.7218
Feature,Dwight's Point and Pokegama Wetlands,"Within the Superior Municipal Forest, Dwight's Point and Pokegama Wetlands features boreal forest, emergent marsh, and wet clay flats. Accessible by water, or various hiking, biking, skiing, and snowmobile trails.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=300,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map300.pdf,Point,-92.1492,46.6863
Feature,Bear Beach,"Bear Beach features several extensive stretches of undeveloped beach along the Lake Superior shore, west of the Brule River mouth.  Best seen by canoe.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=402,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map402.pdf,Point,-91.6722,46.7279
Feature,Pokegama Carnegie Wetlands,Pokegama Carnegie Wetlands features an extensive mosaic of wetland vegetation containing many rare plant species. It is situated on level clay flats between the Pokegama and Little Pokegama Rivers.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=516,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map516.pdf,Point,-92.1548,46.637
Feature,Bark Bay Slough,"Bark Bay Slough consists of a coastal barrier spit, lagoon, springs, and wetlands occupying an embayment between two rocky headlands along Lake Superior. Best explored by canoe.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=137,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map137.pdf,Point,-91.202,46.8527
Feature,Port Wing Boreal Forest,Port Wing Boreal Forest encompasses two areas of forest on sand spits inland from the present Lake Superior shoreline. It includes a 20-acre beach and dune complex along the shoreline.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=154,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map154.pdf,Point,-91.3847,46.7901
Feature,Lost Creek Bog,"Lost Creek Bog features a Lake Superior estuarine system at the drowned mouths of three small creeks (Lost Creek 1, 2, and 3) where they empty into Siskiwit Bay. Migratory waterfowl and other water birds make extensive use of the site.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=274,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map274.pdf,Point,-91.1299,46.8533
Feature,Houghton Falls,"Houghton Falls protects a picturesque pre-Cambrian sandstone gorge along the Lake Superior shore. The dramatic sandstone cliffs extend into the clear waters of Lake Superior, affording views of the Apostle Islands. Houghton Falls is owned by the Town of Bayview and was designated a State Natural Area in 2010.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=638,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map638.pdf,Point,-90.85933957394124,46.6947819192949
Feature,Big Bay Sand Spit and Bog,"Big Bay Sand Spit and Bog is located on an island in Lake Superior and features a long, curving bay mouth bar behind which lies a lagoon.  An extensive ""cord walk"" allows visitors to traverse the bay mouth bar without disturbing the sensitive vegetation.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=156,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map156.pdf,Point,-90.6846,46.8099
Feature,Apostle Islands Maritime Forest,"Apostle Islands Maritime Forests consists of portions of five islands (Sand Island, Raspberry Island, Outer Island, Bear Island, and Devils Island) within the 21-island Apostle Islands archipelago.  Islands accessible only by water.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=266,,Point,-90.7665,47.0154
